23.733998,37.9756885,0

23.7340236,37.9757564,0

23.7340236,37.9757564,0

23.7341706,37.9757327,0

23.7342357,37.9756191,0

23.7344996,37.9755845,0

23.7345707,37.9759028,0

23.7344763,37.9760707,0

23.734963,37.9808681,0

23.7349886,37.9808793,0

23.734963,37.9808681,0

23.7349064,37.9808405,0

23.7352817,37.9803733,0

23.7353042,37.9803439,0

23.7353286,37.9803119,0

23.7353955,37.9802243,0

23.7364587,37.9808247,0

23.7369812,37.9811228,0

23.7373164,37.9813047,0

23.7379921,37.9817058,0

23.7390894,37.982324,0

23.7392691,37.9824491,0

23.7393621,37.9824779,0

23.739649,37.9826344,0

23.7403564,37.9830601,0

23.7406658,37.9832858,0

23.7407387,37.9837681,0

23.7410881,37.9840844,0

23.7411406,37.9841275,0

23.7414609,37.984285,0
